Serial Number,UP#,Make,Office,Modality,Status,Room,Tech,Equipment ,Contract/Warranty Begin, Contract/Warranty End Date ,Service Contract,Service Support,Support Phone#,Support Email,Coverage Days Left,Service Annual Fee,Note,Purchase From,Purchase Date,Delivery Date,Install Date,Remove By,Remove Date,Remove Description
BCB1562182,,Toshiba,AR,CT,In Use,,,CT Toshiba Aquillon Prime Model TSX-303A(manufacture 6/2015),,,,Advanced Imaging Services,800-200-3583,,,,,Advanced Imaging Services,Inv date 1/20/25,,,,,
101134,,GE,AR,Dexa,In Use,,,DEXA GE Lunar system (manufacture 10/2015),,11/18/2025,,Block Imaging,877-733-7142,,,,,,,,,,,
81011167599,,Hologic,AR,Mammo,In Use,,,Mammo Hologic Selenia Dimensions 2D                                                                            ,1/20/2025,6/30/2026,,Hologic,877-371-4372,ServiceOperations@hologic.com,,"$40,273.20 ",2 pm/yr,,,,,,,
BVA00145 ,,Brevera,ABC,Mammo Biopsy  Brevera,In Use,,,Mammo breast Brevera biopsy system                                                                              ,1/20/2025,6/30/2026,,Hologic,877-371-4372,ServiceOperations@hologic.com,,"$14,700.00 ",1 pm/yr,,,,,,,
82008172178,,Hologic,ABC,Mammo Biopsy Affirm,In Use,,,Mammo breast affirm biopsy system,1/20/2025,6/30/2026,,Hologic,877-371-4372,ServiceOperations@hologic.com,,"$4,263.00 ",2 pm/yr,,,,,,,
101488,,Hologic,ABC,Mammo Biopsy Chair,In Use,,,Mammo breast biopsy Akrus chair,9/1/2021,6/30/2026,,Hologic,877-371-4372,ServiceOperations@hologic.com,,"$1,470.00 ",,,,,,,,
112084US1,,GE,AR,Ultrasound,In Use,Room 2,Cynthia,Ultrasound GE Logic E9 ,2/4/2022,2/3/2027,,GE Cares,800-437-1171,JhonMark.Dayonot@gehealthcare.com ,,"$6,497.00 ","contract does not incl pm, last pm done on 4/18/25",,,,,,,
CPD200963k17 ,,Toshiba,AR,X-Ray,In Use,,,"Xray New Universal High Frequency Radiography, Model E7242",,,,RMXC,800-822-7692,,,"$87,630.00 ",,RMXC,,,,,,
HDA06Y2409,,Toshiba,CI,CT,In Use,,,CT Toshiba 128 Slice,3/21/2025,3/21/2029,,Advanced Imaging Services,800-200-3583,,,"$72,000.00 ",,,,,,,,
Id:PA51077,,GE,CI,Dexa,In Use,,,DEXA GE Lunar system,,,,AR RAD Consulting,877-299-8303,info@arrad.net,,,1 pm/yr,,,,,,,
